HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject
3IZVJEBJ6AK5H245ZE7QA8XGP6FZ6D,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:06 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:06 PDT 2020,,,320DUZ38G7MJ00M0J8IRNPH0463GJO,A2D6EN08IXH55B,Submitted,Mon Jul 06 00:26:32 PDT 2020,Mon Jul 06 00:28:34 PDT 2020,Thu Jul 09 00:28:34 PDT 2020,,,,122,100% (2/2),100% (2/2),100% (2/2),bible,PSA,10:02,"In arrogance, the wicked hunt down the weak.",hunt,25,29,Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
382GHPVPHSRQHMTYVJJ2998NEKB431,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:07 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:07 PDT 2020,,,3EFVCAY5L3947LGI0A63VC02GNRJ8C,A2D6EN08IXH55B,Submitted,Mon Jul 06 00:42:26 PDT 2020,Mon Jul 06 00:42:43 PDT 2020,Thu Jul 09 00:42:43 PDT 2020,,,,17,100% (2/2),100% (2/2),100% (2/2),bible,COL,01:06,"which has come to you; even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth;",truth,165,170,Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
371DNNCG442WZ4EUM1F68YSQA5JT8D,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:23:59 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:23:59 PDT 2020,,,31HQ4X3T3SASLVJRHTOLSIDVW63LSG,A2D6EN08IXH55B,Submitted,Mon Jul 06 00:42:07 PDT 2020,Mon Jul 06 00:42:25 PDT 2020,Thu Jul 09 00:42:25 PDT 2020,,,,18,100% (2/2),100% (2/2),100% (2/2),bible,GEN,39:23:00,"The keeper of the prison didn't look after anything that was under his hand, because Yahweh was with him; and that which he did, Yahweh made it prosper.",keeper,4,10,Very Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
3D0LPO3EABZV1I043OR1D1A54C5YOA,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:00 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:00 PDT 2020,,,3Z7VU45IPYHCW011JB0A4W1KLFZ1ZW,A4FUUCTAPWUHK,Submitted,Mon Jul 06 00:46:57 PDT 2020,Mon Jul 06 00:47:04 PDT 2020,Thu Jul 09 00:47:04 PDT 2020,,,,7,100% (1/1),100% (1/1),100% (1/1),bible,ZEC,14:21,In that day there will no longer be a Canaanite in the house of Yahweh of Armies.,day,157,160,Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
3OZ4VAIBEXF0WDE2I0CCY6PPN1TJV3,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:23:59 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:23:59 PDT 2020,,,3ZWFC4W1UU7UKO9IGTLI7V3FD82RFX,A38VDH9S0V8HME,Submitted,Mon Jul 06 01:13:22 PDT 2020,Mon Jul 06 01:13:30 PDT 2020,Thu Jul 09 01:13:30 PDT 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),bible,PRO,11:15,"He who is collateral for a stranger will suffer for it, but he who refuses pledges of collateral is secure.",stranger,27,35,Very Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
309D674SHZLYFLAQ3R4QAQINUP5CBD,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:21 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:21 PDT 2020,,,3ZOTGHDK5IB0RGMOUL4DKZHPRBEOS6,A38VDH9S0V8HME,Submitted,Mon Jul 06 01:22:56 PDT 2020,Mon Jul 06 01:23:05 PDT 2020,Thu Jul 09 01:23:05 PDT 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),bible,PSA,24:03:00,Who may ascend to Yahweh's hill?,hill,27,31,Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
3J9L0X0VDFMO5Q1YMYQVVEU0Y5K9W9,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:22 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:22 PDT 2020,,,3WYP994K17R7YWSTTVA8LLJZNWFY64,A38VDH9S0V8HME,Submitted,Mon Jul 06 01:20:48 PDT 2020,Mon Jul 06 01:20:54 PDT 2020,Thu Jul 09 01:20:54 PDT 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),bible,JOS,10:40,"He left none remaining, but he utterly destroyed all that breathed, as Yahweh, the God of Israel, commanded.",none,126,130,Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
3BS6ERDL9372E1Z97WITJGED1O6D6T,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:32 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:32 PDT 2020,,,30BXRYBRP4XJ6GHAADJOXFN9L2XWH6,A38VDH9S0V8HME,Submitted,Mon Jul 06 01:31:02 PDT 2020,Mon Jul 06 01:31:12 PDT 2020,Thu Jul 09 01:31:12 PDT 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),bible,JOS,06:19,"But all the silver, and gold, and vessels of brass and iron, are holy to Yahweh.",gold,24,28,Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
356TQKY9XFX916HN9YC53208L8T78G,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:17 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:17 PDT 2020,,,3NQL1CS15R8SDM7UU3IGXDZY4P7YVW,A38VDH9S0V8HME,Submitted,Mon Jul 06 01:26:53 PDT 2020,Mon Jul 06 01:27:00 PDT 2020,Thu Jul 09 01:27:00 PDT 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),bible,REV,18:09,"The kings of the earth, who committed sexual immorality and lived wantonly with her, will weep and wail over her, when they look at the smoke of her burning,",smoke,136,141,Very Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
3DQYSJDTYLBKPMX54E23PB9IY46EXH,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 06 00:24:23 PDT 2020,10,BatchId:4104976;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 13 00:24:23 PDT 2020,,,3TR2532VIPUH37XU7V95BY4BAS96JL,A38VDH9S0V8HME,Submitted,Mon Jul 06 01:31:52 PDT 2020,Mon Jul 06 01:31:58 PDT 2020,Thu Jul 09 01:31:58 PDT 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),bible,JOB,17:13,"If I look for Sheol as my house, if I have spread my couch in the darkness,",darkness,66,74,Very Difficult,,"It is unclear why this word is marked as very difficult, all other annotators marked it as easy"
