HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject
3EQVJH0T40LPSFFNP59CLBLPDM2THH,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:15 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:15 PDT 2020,,,3HFNH7HEMHE0MNQDEY20KQTMIVWQGE,AM478J9YCDX8,Rejected,Fri Jul 03 06:48:39 PDT 2020,Fri Jul 03 06:48:51 PDT 2020,Mon Jul 06 06:48:51 PDT 2020,,Fri Jul 03 08:23:19 PDT 2020,Does not match other annotations in batch,12,69% (11/16),69% (11/16),69% (11/16),bible,1CH,14:15,"It shall be, when you hear the sound of marching in the tops of the mulberry trees, that then you shall go out to battle; for God has gone out before you to strike the army of the Philistines.""",tops,56,60,Difficult,,
3MA5N0ATTCB8MMKPQVHKLN8G9XOWKE,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:20 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:20 PDT 2020,,,3WMOAN2SRBXY1N3GN195GX1R0ZVNVB,AM478J9YCDX8,Rejected,Fri Jul 03 06:43:25 PDT 2020,Fri Jul 03 06:44:52 PDT 2020,Mon Jul 06 06:44:52 PDT 2020,,Fri Jul 03 08:23:20 PDT 2020,Does not match other annotations in batch,87,69% (11/16),69% (11/16),69% (11/16),bible,LEV,21:12,"neither shall he go out of the sanctuary, nor profane the sanctuary of his God; for the crown of the anointing oil of his God is upon him.",crown,88,93,Difficult,,
3TX9T2ZCB913BHJBQWKU82WTD61WZ0,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:27 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:27 PDT 2020,,,3EJJQNKU9R5EYK0OBJ9IAGFSTHCHR6,AM478J9YCDX8,Rejected,Fri Jul 03 06:50:03 PDT 2020,Fri Jul 03 06:50:12 PDT 2020,Mon Jul 06 06:50:12 PDT 2020,,Fri Jul 03 08:23:20 PDT 2020,Does not match other annotations in batch,9,69% (11/16),69% (11/16),69% (11/16),bible,EST,05:12,"Haman also said, ""Yes, Esther the queen let no man come in with the king to the banquet that she had prepared but myself; and tomorrow I am also invited by her together with the king.",tomorrow,126,134,Difficult,,
385MDVINFCFDB2E78AH8K883U8OJW2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:21 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:21 PDT 2020,,,3NAPMVF0ZWF01BDRJK85IVIQ3M027A,AM478J9YCDX8,Rejected,Fri Jul 03 06:49:50 PDT 2020,Fri Jul 03 06:50:07 PDT 2020,Mon Jul 06 06:50:07 PDT 2020,,Fri Jul 03 08:20:55 PDT 2020,Does not mathc other annotaions in  batch,17,69% (11/16),69% (11/16),69% (11/16),bible,LEV,11:39,"""'If any animal, of which you may eat, dies; he who touches its carcass shall be unclean until the evening.",evening,99,106,Difficult,,
30F94FBDNRKF12C1PDZGZ0IRI9XTB1,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:12 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:12 PDT 2020,,,37U1UTWH9VML59ZV8FFCX3MTQYM8RI,AM478J9YCDX8,Rejected,Fri Jul 03 06:48:51 PDT 2020,Fri Jul 03 06:49:02 PDT 2020,Mon Jul 06 06:49:02 PDT 2020,,Fri Jul 03 08:17:23 PDT 2020,Doesn't match other annotations in batch.,11,69% (11/16),69% (11/16),69% (11/16),bible,PRO,23:07,"for as he thinks about the cost, so he is.",cost,27,31,Difficult,,
3087LXLJ6MG4YARQWDX2YF770WSF0T,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:13 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:13 PDT 2020,,,3KB8R4ZV1E7DIHOOVG5AP1YNWVWGBT,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:51:03 PDT 2020,Fri Jul 03 06:51:09 PDT 2020,Mon Jul 06 06:51:09 PDT 2020,,Fri Jul 03 07:39:01 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,ISA,15:09,"For the waters of Dimon are full of blood; for I will bring yet more on Dimon, a lion on those of Moab who escape, and on the remnant of the land.",lion,81,85,Easy,,
30F94FBDNRKF12C1PDZGZ0IRI9XTB1,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:12 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:12 PDT 2020,,,33M4IA01QG1BKA03GNR4D23MH7VRX9,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:50:06 PDT 2020,Fri Jul 03 06:50:12 PDT 2020,Mon Jul 06 06:50:12 PDT 2020,,Fri Jul 03 07:39:00 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,PRO,23:07,"for as he thinks about the cost, so he is.",cost,27,31,Easy,,
30Y6N4AHYPWV0KXTZKLRUB59X9CRDT,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:21 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:21 PDT 2020,,,3ATPCQ38J8A8LY4WJ8RK1QLLJ91AYQ,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:50:00 PDT 2020,Fri Jul 03 06:50:06 PDT 2020,Mon Jul 06 06:50:06 PDT 2020,,Fri Jul 03 07:39:03 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,1KI,09:19,"and all the storage cities that Solomon had, and the cities for his chariots, and the cities for his horsemen, and that which Solomon desired to build for his pleasure in Jerusalem, and in Lebanon, and in all the land of his dominion.",Lebanon,189,196,Neutral,,
311HQEI8RSGOL2IAIOCIGMXCKFSZ71,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:26 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:26 PDT 2020,,,3VP0C6EFSGW74F3FASMXRQWSEGY6M7,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:51:46 PDT 2020,Fri Jul 03 06:51:53 PDT 2020,Mon Jul 06 06:51:53 PDT 2020,,Fri Jul 03 07:39:05 PDT 2020,See block message.,7,70% (158/225),71% (157/220),71% (157/220),bible,EXO,34:13:00,"but you shall break down their altars, and dash in pieces their pillars, and you shall cut down their Asherim;",altars,31,37,Easy,,
31ODACBENUF1Q81BJVRGKKH42QKQSL,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:13 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:13 PDT 2020,,,3KV0LJBBH2L0QY1Z2GPV2LNOA3CMRL,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:52:10 PDT 2020,Fri Jul 03 06:52:16 PDT 2020,Mon Jul 06 06:52:16 PDT 2020,,Fri Jul 03 07:39:00 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,HEB,11:38,"(of whom the world was not worthy), wandering in deserts, mountains, caves, and the holes of the earth.",mountains,58,67,Easy,,
