HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject
38O9DZ0A62NFBR1TA7YCNXN94X062W,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:32 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:32 PDT 2020,,,35USIKEBNRGDMXOFMT1X45LSJGL6N4,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 01:52:35 PDT 2020,Tue Jul 07 01:53:00 PDT 2020,Fri Jul 10 01:53:00 PDT 2020,,,,25,0% (0/0),0% (0/0),0% (0/0),biomed,PLoS Genet-1-6-1342629.nxml,3,"During skeletal aging, there is a shift in the balance that favors osteoclast over osteoblast activity, which results in net bone loss [3].",shift,341,346,Easy,,Insufficient spread of categories used for annotations.
3DFYDSXB2W00JYP2DA272KN69U3UJ8,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:38 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:38 PDT 2020,,,3T3IWE1XG6N4RSCJYY17J98B8ZITQO,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 01:52:36 PDT 2020,Tue Jul 07 01:53:12 PDT 2020,Fri Jul 10 01:53:12 PDT 2020,,,,36,0% (0/0),0% (0/0),0% (0/0),biomed,PLoS Med-2-12-1322285.nxml,1,"To ensure that AŒ≤ production was suppressed in concert with the dox-mediated inhibition of its precursor APPswe/ind, we measured AŒ≤40 and AŒ≤42 levels by ELISA in forebrain homogenates from young tet-off animals.",inhibition,77,87,Neutral,,Insufficient spread of categories used for annotations.
3M4KL7H8KVN8M6JXR3YYIED4CRM61F,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:31 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:31 PDT 2020,,,3L0KT67Y8EGCLUQQ08DBMQFR5PLYS7,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 01:52:49 PDT 2020,Tue Jul 07 01:53:26 PDT 2020,Fri Jul 10 01:53:26 PDT 2020,,,,37,0% (0/0),0% (0/0),0% (0/0),biomed,Genome Biol-4-11-329117.nxml,11,Does activity-dependent neuronal competition [37] contribute to increased representation of the olfactory receptors that respond to common environmental odorants?,Does,1697,1701,Easy,,Insufficient spread of categories used for annotations.
3TX9T2ZCB913BHJBQWKU82WTD8RWZU,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:33 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:33 PDT 2020,,,3R08VXYT7CVMDRBYX4XC62YF738W7J,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 01:53:02 PDT 2020,Tue Jul 07 01:53:53 PDT 2020,Fri Jul 10 01:53:53 PDT 2020,,,,51,0% (0/0),0% (0/0),0% (0/0),biomed,BMC Cancer-5-_-1310620.nxml,3,"If this conclusion is correct, the individuals at greatest risk for BC will be those with the most extreme smoking history combined with sub-optimal regulation of the largest number of antioxidant and DNA repair genes.",regulation,507,517,Easy,,Insufficient spread of categories used for annotations.
30P8I9JKOILSPEZHTY8IXW6K50I5VN,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:30 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:30 PDT 2020,,,39GXDJN2OTEDYGGCHZKMY0BWBED8V9,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 01:53:15 PDT 2020,Tue Jul 07 01:54:43 PDT 2020,Fri Jul 10 01:54:43 PDT 2020,,,,88,0% (0/0),0% (0/0),0% (0/0),biomed,BMC Dev Biol-6-_-1382200.nxml,1,"It should also be stressed that Capn4-/- ES and MEF cells from the presumptive hypomorphic allele can be maintained in culture despite an apparent lack of calpain activity, as assessed by casein zymography or by the appearance of characteristic spectrin breakdown products.",culture,119,126,Easy,,Insufficient spread of categories used for annotations.
3T2HW4QDUV7FRSVT57QUJKNX6PLC9M,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:43 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:43 PDT 2020,,,35BLDD71I6XSICHZQPKZBK80ANJZV4,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 01:54:14 PDT 2020,Tue Jul 07 01:56:44 PDT 2020,Fri Jul 10 01:56:44 PDT 2020,,,,150,0% (0/0),0% (0/0),0% (0/0),biomed,PLoS Genet-3-4-1857728.nxml,4,"Human DMRT1 maps to an autosomal locus, which, when hemizygous, is associated with defective testicular development and consequent XY feminization [30].",maps,540,544,Neutral,,Insufficient spread of categories used for annotations.
3I7KR83SNADXAQ7HXK7S7305BYUK97,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:46 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:46 PDT 2020,,,3TPWUS5F891SP86UOL5NMOQT8E4WCH,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 02:20:59 PDT 2020,Tue Jul 07 02:21:15 PDT 2020,Fri Jul 10 02:21:15 PDT 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),biomed,BMC Biotechnol-2-_-116589.nxml,1,The ease of manipulating its genome has helped establish the mouse as the premier model organism for mammalian genetic studies.,genome,29,35,Easy,,Insufficient spread of categories used for annotations.
3VDVA3ILIDFAJZ833G7KU5QT65P1GC,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:31 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:31 PDT 2020,,,320DUZ38G7MJ00M0J8IRNPH04ANJGJ,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 02:21:01 PDT 2020,Tue Jul 07 02:21:50 PDT 2020,Fri Jul 10 02:21:50 PDT 2020,,,,49,0% (0/0),0% (0/0),0% (0/0),biomed,BMC Ophthalmol-3-_-149350.nxml,5,"AlphaB was found to be expressed at significant levels in a variety of nonlenticular tissues, while alphaA has only been detected in small amounts in a few other tissues such as retina, spleen and thymus [8-12].",thymus,885,891,Easy,,Insufficient spread of categories used for annotations.
3UDTAB6HH6ZVX00DTRXAOJLWX0O90Q,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:35 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:35 PDT 2020,,,3YJ6NA41JBGPDDFZMR8EHYVS51AJPN,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 02:21:17 PDT 2020,Tue Jul 07 02:22:46 PDT 2020,Fri Jul 10 02:22:46 PDT 2020,,,,89,0% (0/0),0% (0/0),0% (0/0),biomed,BMC Genet-6-_-1181811.nxml,2,"Quinine may directly activate G proteins, and both quinine and denatonium can block K+ channels [31-36] ; caffeine, another bitter-tasting substance, directly inhibits intracellular phosphodiesterase [33].",caffeine,340,348,Easy,,Insufficient spread of categories used for annotations.
3RWSQDNYL9MVVE6GZVGN1MUB608FFS,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 01:43:50 PDT 2020,10,BatchId:4106650;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 01:43:50 PDT 2020,,,3IJXV6UZ1XJEUFB8H1R3ASG7T49RIB,A1VEUBY3JTXH0W,Submitted,Tue Jul 07 02:21:34 PDT 2020,Tue Jul 07 02:23:16 PDT 2020,Fri Jul 10 02:23:16 PDT 2020,,,,102,0% (0/0),0% (0/0),0% (0/0),biomed,PLoS Genet-3-8-1959384.nxml,6,"In addition to meiosis-specific proteins, these include factors that play roles in DNA damage signaling in mitotic cells [6‚Äì10].",addition,761,769,Easy,,Insufficient spread of categories used for annotations.
