HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject,,,,,,,,,,
38EHZ67RIMS7FOUSW2QIEXEW4GPGM4,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:50 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:50 PDT 2020,,,37KGEN7NJ3QLZOIXH4DYEUH4E11PPG,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:15 PDT 2020,Tue Jul 07 06:26:20 PDT 2020,Fri Jul 10 06:26:20 PDT 2020,,,,5,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193529.nxml,10,"To confirm these findings, the staining was repeated in kidneys taken from two further mice for each class, wild-type or mutant, with or without dDAVP treatment, with identical results.",staining,1219,1227,Easy,x,Time taken is too short to have fully read sentences and located words in context.,,,,,,,1,0,0,0
3JUDR1D0D6R8L9KDPGCAT2404YHQ2I,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:44 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:44 PDT 2020,,,308Q0PEVB8D8QFFMNKRHJ7GDNJOI92,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:22 PDT 2020,Tue Jul 07 06:26:27 PDT 2020,Fri Jul 10 06:26:27 PDT 2020,,,,5,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193529.nxml,5,"Interestingly, AVPR2-deficient male pups also die within the first week after birth.",week,398,402,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,2,1,27,27
3MVY4USGB6NO9ADS6NM7BIQIBIZSIK,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:40 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:40 PDT 2020,,,3RSDURM96AMBBBL8ZDT6X9BC4Z2EYE,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:27 PDT 2020,Tue Jul 07 06:26:32 PDT 2020,Fri Jul 10 06:26:32 PDT 2020,,,,5,99% (388/391),100% (315/315),100% (315/315),biomed,Arthritis Res Ther-8-2-1526604.nxml,1,"The second conclusion from this study is that loci of possible importance for CIA have been detected, two associated with arthritis susceptibility (chromosomes 1 and 11) and one associated with anti-CII titers (chromosome 13).",arthritis,122,131,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,3,2,341,314
3ACRLU860NEDCJU4ZIAL0EIQF16BET,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:49 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:49 PDT 2020,,,3634BBTX0OUHRP6ZQ6R9T32OQHJIFU,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:32 PDT 2020,Tue Jul 07 06:26:35 PDT 2020,Fri Jul 10 06:26:35 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-2-11-523229.nxml,2,"Mutations in two different ligands in the BMP family, Gdf5 and Gdf6, the Bmpr1b receptor, and in the human Noggin locus (Storm and Kingsley 1996; Gong et al. 1999; Baur et al. 2000; Yi et al. 2000; Settle et al. 2003) also produce defects in joint formation at specific locations in the limbs.",limbs,466,471,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,4,3,489,148
3TKXBROM5TAVA7U2JTDTJHZVFZMIJU,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:34 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:34 PDT 2020,,,3MB8LZR5BFTUXC6JCKFJ1WMLFHUKLC,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:35 PDT 2020,Tue Jul 07 06:26:38 PDT 2020,Fri Jul 10 06:26:38 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-3-6-1904370.nxml,3,Here we describe this effort and the discovery of deletion at the ITPR1 locus as a cause of this disorder in mice and of spinocerebellar ataxia 15 (SCA15) in humans.,deletion,378,386,Neutral,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,5,4,520,31
34ZTTGSNJXOC0ZNV81FHG6A2THZQH0,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:50 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:50 PDT 2020,,,38SKSKU7R1X3RHGVCHU7OG78ND5ILZ,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:38 PDT 2020,Tue Jul 07 06:26:40 PDT 2020,Fri Jul 10 06:26:40 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Genet-6-_-1166548.nxml,7,These changes are less directly related to specific mutations in the CFTR gene and are likely related to other differences in individual genetic makeup.,makeup,1089,1095,Neutral,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,6,5,526,6
3P520RYKCH6SCZAHO8YD1A41RTE5U3,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:35 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:35 PDT 2020,,,32UTUBMZ7GWW0EEJKB4WP21XJLNVBM,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:41 PDT 2020,Tue Jul 07 06:26:43 PDT 2020,Fri Jul 10 06:26:43 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-3-4-1074790.nxml,8,"Third, we found evidence for an age-related increase in body fat in PGC-1Œ±‚àí/‚àí mice (females earlier than males), whereas Lin et al. identified a male-specific resistance to diet-induced obesity and insulin resistance.",increase,1025,1033,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,7,6,527,1
391JB9X4ZY8CHAQBMTBXCP6PBX6KMB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:33 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:33 PDT 2020,,,3H8DHMCCW9BBZ0IRZ3HVIJEG68SDKP,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:43 PDT 2020,Tue Jul 07 06:26:46 PDT 2020,Fri Jul 10 06:26:46 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-2-8-509305.nxml,4,"Similarly, the Y-chromosome-linked Yaa gene in BXSB and MRL/Mp males enhances the rapid development of auto-Abs and glomerulonephritis (Izui et al. 1988; Merino et al. 1989).",Merino,684,690,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,8,7,527,0
3SD15I2WD2U4W9XCE7CH67S1AB5369,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:31 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:31 PDT 2020,,,3WYP994K17R7YWSTTVA8LLJZN1EY6D,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:46 PDT 2020,Tue Jul 07 06:26:48 PDT 2020,Fri Jul 10 06:26:48 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-2-9-1584259.nxml,4,"As well as colorectal polyps, these individuals can develop extracolonic symptoms, among which are upper gastrointestinal tract polyps, congenital hypertrophy of the retinal pigment epithelium, desmoid tumors, disorders of the maxillary and skeletal bones, and dental abnormalities [6].",disorders,623,632,Very Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,9,8,527,0
3RWSQDNYL9MVVE6GZVGN1MUB60DFFX,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:31 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:31 PDT 2020,,,39LNWE0K4UW6A73PLVM8F33R04YIUT,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:48 PDT 2020,Tue Jul 07 06:26:50 PDT 2020,Fri Jul 10 06:26:50 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193529.nxml,5,"The synthetic AVP analog, 1-deamino-8-D-arginine vasopressin (dDAVP; also called desmopressin), is a potent agonist of AVPR2.",analog,482,488,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,10,9,527,0
