"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.corpus_id","Input.file_id","Input.token_id","Input.sentence","Input.token","Input.begin","Input.end","Answer.sentiment.label","Approve","Reject"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","33L7PJKHCGYYLOCNC4K7XINBECAT8T","A10443E11ZWEHJ","Submitted","Thu Jul 02 03:45:50 PDT 2020","Thu Jul 02 03:45:58 PDT 2020","Sun Jul 05 03:45:58 PDT 2020","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Very Difficult"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3A4NIXBJ76ZPN06MXWSZG9EP44HMLB","A1L2N1X8U8Z3W7","Submitted","Thu Jul 02 04:36:55 PDT 2020","Thu Jul 02 04:37:02 PDT 2020","Sun Jul 05 04:37:02 PDT 2020","","","","7","88% (46/52)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Very Difficult"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3HOSI13XHZO3LUCH7MV8E6JQMHMDD3","A1V32PABM8W3KZ","Submitted","Thu Jul 02 04:18:10 PDT 2020","Thu Jul 02 04:18:25 PDT 2020","Sun Jul 05 04:18:25 PDT 2020","","","","15","80% (4/5)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Difficult"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3IUZPWIU1O7A86IIGYMLA731D6NKWU","A1PBRKFHSF1OF8","Submitted","Thu Jul 02 03:54:42 PDT 2020","Thu Jul 02 03:54:46 PDT 2020","Sun Jul 05 03:54:46 PDT 2020","","","","4","0% (0/2)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Difficult"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3IX2EGZR7BJAPQVEZJC3MTV7626RJX","A2P76QVLSGJR45","Submitted","Thu Jul 02 03:34:09 PDT 2020","Thu Jul 02 03:36:37 PDT 2020","Sun Jul 05 03:36:37 PDT 2020","","","","148","0% (0/0)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Difficult"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3JRJSWSMQHLAV8OKAS0G7FFZVH03ES","A38OC7U7R8JYLI","Submitted","Thu Jul 02 04:34:58 PDT 2020","Thu Jul 02 04:35:04 PDT 2020","Sun Jul 05 04:35:04 PDT 2020","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Very Easy"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3MYYFCXHJ37TXI3FG1VNHNSHMW64GO","A3CZ9T0BO40T0","Submitted","Thu Jul 02 03:38:00 PDT 2020","Thu Jul 02 03:39:16 PDT 2020","Sun Jul 05 03:39:16 PDT 2020","","","","76","0% (0/0)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Neutral"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3QJOXOW4XJRBHUWUGA5V3EO5V7GMEO","A1TW2BZRRS874Z","Submitted","Thu Jul 02 04:36:14 PDT 2020","Thu Jul 02 04:36:34 PDT 2020","Sun Jul 05 04:36:34 PDT 2020","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Very Difficult"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3SEPORI8WNZ8QOE1FUT3FXUNPW0ZAN","A29XYWTD63Z7BS","Submitted","Thu Jul 02 04:36:02 PDT 2020","Thu Jul 02 04:36:07 PDT 2020","Sun Jul 05 04:36:07 PDT 2020","","","","5","100% (61/61)","100% (37/37)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Neutral"
"301KG0KX9CLV8GLA6QPGKOCZD9X2H6","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3VJ40NV2QIN16GZ3JL93U4DBTHETOW","A2QT3PLP9RR3K0","Submitted","Thu Jul 02 03:47:37 PDT 2020","Thu Jul 02 03:50:21 PDT 2020","Sun Jul 05 03:50:21 PDT 2020","","","","164","0% (0/0)","0% (0/0)","0% (0/0)","bible","EZE","21:23","It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken.","divination","31","41","Difficult"
