HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,33M4IA01QG1BKA03GNR4D23MH6CXRU,A3CZ9T0BO40T0,Submitted,Fri Jul 03 03:52:46 PDT 2020,Fri Jul 03 03:52:49 PDT 2020,Mon Jul 06 03:52:49 PDT 2020,,,,3,100% (217/217),100% (217/217),100% (217/217),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Very Difficult,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,35L9RVQFCOI6ECS5FD4NFR2C0FVUH0,A39VVWV1GHLMFD,Submitted,Fri Jul 03 03:43:18 PDT 2020,Fri Jul 03 03:43:30 PDT 2020,Mon Jul 06 03:43:30 PDT 2020,,,,12,100% (104/104),100% (104/104),100% (104/104),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Very Easy,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,35LDD5557A4E3UO4CWGY191AFAZKM5,A2G5E22Y9EYWRO,Submitted,Fri Jul 03 03:54:54 PDT 2020,Fri Jul 03 03:56:55 PDT 2020,Mon Jul 06 03:56:55 PDT 2020,,,,121,0% (0/0),0% (0/0),0% (0/0),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Very Difficult,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,3A0EX8ZRN8OD489OPMRGW15R1Q1YBM,A1V32PABM8W3KZ,Submitted,Fri Jul 03 03:42:03 PDT 2020,Fri Jul 03 03:42:12 PDT 2020,Mon Jul 06 03:42:12 PDT 2020,,,,9,100% (303/304),100% (299/299),100% (299/299),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Easy,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,3IHR8NYAM71ZAVWEJKLABW69NTJ4PU,A2541C8MY0BYV3,Submitted,Fri Jul 03 03:48:41 PDT 2020,Fri Jul 03 03:49:15 PDT 2020,Mon Jul 06 03:49:15 PDT 2020,,,,34,100% (106/106),100% (106/106),100% (98/98),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Difficult,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,3MMN5BL1WZ487WGXRQOZKNK84ODM3W,A3ZWMVK6GNTJ8,Submitted,Fri Jul 03 03:57:01 PDT 2020,Fri Jul 03 03:58:07 PDT 2020,Mon Jul 06 03:58:07 PDT 2020,,,,66,0% (0/0),0% (0/0),0% (0/0),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Very Easy,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,3P1L2B7AD1PDN3RYAC7C8D3UZAJLOO,AK8ONB60Q4RJ5,Submitted,Fri Jul 03 03:56:20 PDT 2020,Fri Jul 03 03:56:59 PDT 2020,Mon Jul 06 03:56:59 PDT 2020,,,,39,0% (0/0),0% (0/0),0% (0/0),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Very Difficult,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,3TE3O857308AJUX6SY6BNC9Q4XA2RN,A2GR7ABWSWORML,Submitted,Fri Jul 03 03:44:23 PDT 2020,Fri Jul 03 03:45:39 PDT 2020,Mon Jul 06 03:45:39 PDT 2020,,,,76,0% (0/0),0% (0/0),0% (0/0),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Easy,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,3VD82FOHKQOKKZXSXZED5UD7514OCA,AWWR9PY50W0Z9,Submitted,Fri Jul 03 03:49:28 PDT 2020,Fri Jul 03 03:50:22 PDT 2020,Mon Jul 06 03:50:22 PDT 2020,,,,54,100% (47/47),100% (47/47),100% (47/47),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Difficult,,
3MD8CKRQZZN836XL9G72X90M2T4RJ2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 03:32:43 PDT 2020,10,BatchId:4102928;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 03:32:43 PDT 2020,,,3YDTZAI2WXGWT3DCYIAKA0OBKDF14P,A3DY78Q4FCWTXX,Submitted,Fri Jul 03 03:56:45 PDT 2020,Fri Jul 03 03:56:55 PDT 2020,Mon Jul 06 03:56:55 PDT 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),bible,EZE,46:14:00,"You shall prepare a meal offering with it morning by morning, the sixth part of an ephah, and the third part of a hin of oil, to moisten the fine flour; a meal offering to Yahweh continually by a perpetual ordinance.",hin,114,117,Very Difficult,,
