HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,34PGFRQONOBFXMC0YDM99S3OZY5WJO,A39VVWV1GHLMFD,Submitted,Mon Jul 13 02:56:42 PDT 2020,Mon Jul 13 02:56:52 PDT 2020,Thu Jul 16 02:56:52 PDT 2020,,,,10,100% (4054/4054),100% (4054/4054),100% (2468/2468),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Easy,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,34S6N1K2ZVJ3VM5B6ZCMO46TOZYLHG,AUO7GWTC1EAK7,Submitted,Mon Jul 13 03:00:16 PDT 2020,Mon Jul 13 03:02:22 PDT 2020,Thu Jul 16 03:02:22 PDT 2020,,,,126,100% (449/449),100% (449/449),100% (449/449),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Neutral,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,354P56DE9K3T6AUPDZNB9DVU2Q9S7Y,A37EV8RZ82WT8E,Submitted,Mon Jul 13 02:57:51 PDT 2020,Mon Jul 13 02:57:58 PDT 2020,Thu Jul 16 02:57:58 PDT 2020,,,,7,100% (252/252),100% (252/252),0% (0/0),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Easy,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,36NEMU28XFD5YUIL1AZ1PKV53S0WMS,A1V32PABM8W3KZ,Submitted,Mon Jul 13 02:56:48 PDT 2020,Mon Jul 13 02:56:54 PDT 2020,Thu Jul 16 02:56:54 PDT 2020,,,,6,100% (6194/6196),100% (6190/6191),100% (3767/3767),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Difficult,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,39U1BHVTDLRCKR6H0NPB61F0Z723TU,A3IJZFDMCA4Y7U,Submitted,Mon Jul 13 02:59:54 PDT 2020,Mon Jul 13 03:00:04 PDT 2020,Thu Jul 16 03:00:04 PDT 2020,,,,10,75% (3/4),0% (0/0),0% (0/0),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Neutral,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,3FTF2T8WLRIQRAZRC1VWKYPL3TTW9T,A2QT3PLP9RR3K0,Submitted,Mon Jul 13 02:59:35 PDT 2020,Mon Jul 13 03:00:11 PDT 2020,Thu Jul 16 03:00:11 PDT 2020,,,,36,100% (2606/2606),100% (2606/2606),100% (1675/1675),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Easy,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,3M68NM076H7Y1VG7F0IEDPQ2LD66RP,A2Y2AZ8DBFU47Q,Submitted,Mon Jul 13 02:55:03 PDT 2020,Mon Jul 13 02:55:13 PDT 2020,Thu Jul 16 02:55:13 PDT 2020,,,,10,100% (4380/4380),100% (4380/4380),100% (3031/3031),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Very Easy,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,3TR2532VIPUH37XU7V95BY4BBWD6JY,A3PXU2ZLEL8WRW,Submitted,Mon Jul 13 03:00:17 PDT 2020,Mon Jul 13 03:00:38 PDT 2020,Thu Jul 16 03:00:38 PDT 2020,,,,21,100% (2828/2828),100% (2828/2828),100% (1949/1949),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Very Easy,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,3WQQ9FUS6AUYP2I6CITMXOHP9MU8B1,A1PNYLOKED8FWF,Submitted,Mon Jul 13 02:58:31 PDT 2020,Mon Jul 13 02:59:51 PDT 2020,Thu Jul 16 02:59:51 PDT 2020,,,,80,100% (5090/5090),100% (5089/5089),100% (3499/3499),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Easy,,
3HEM8MA6H9C4DGLJRENMPFCTFC7QPB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,3ZDAD0O1T1DO0PDVKCWZDH44622TXJ,A2K607J3Z68WRR,Submitted,Mon Jul 13 02:56:30 PDT 2020,Mon Jul 13 02:56:33 PDT 2020,Thu Jul 16 02:56:33 PDT 2020,,,,3,0% (0/0),0% (0/0),0% (0/0),europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106,Easy,,
3N2YPY1GI6YSLXSA4Z1L1QCXIXKVEP,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,333U7HK6I9FGOGC9HIHJH4E3SI0DJX,A4FUUCTAPWUHK,Submitted,Mon Jul 13 03:00:09 PDT 2020,Mon Jul 13 03:00:21 PDT 2020,Thu Jul 16 03:00:21 PDT 2020,,,,12,100% (1316/1317),100% (1316/1317),100% (1283/1283),europarl,ep-08-03-10-016.txt,7,"We urge him to bear in mind that he represents the EU Member States, and call on him to respect their sensitivities and contribute towards resolving the issues, showing the Community solidarity that is expected of him and is his duty in view of the office he holds.",EU,302,304,Difficult,,
3N2YPY1GI6YSLXSA4Z1L1QCXIXKVEP,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,33FOTY3KEMLZO7QRRXG2TY0ZD1O1CH,A23U741RIY62O4,Submitted,Mon Jul 13 02:59:57 PDT 2020,Mon Jul 13 03:00:55 PDT 2020,Thu Jul 16 03:00:55 PDT 2020,,,,58,100% (703/703),100% (703/703),100% (703/703),europarl,ep-08-03-10-016.txt,7,"We urge him to bear in mind that he represents the EU Member States, and call on him to respect their sensitivities and contribute towards resolving the issues, showing the Community solidarity that is expected of him and is his duty in view of the office he holds.",EU,302,304,Easy,,
3N2YPY1GI6YSLXSA4Z1L1QCXIXKVEP,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Mon Jul 13 02:54:13 PDT 2020,10,BatchId:4114028;OriginalHitTemplateId:928390909;,180,259200,Mon Jul 20 02:54:13 PDT 2020,,,38F71OA9GTW3N8WQBLP1LW958PAMFK,A1PNYLOKED8FWF,Submitted,Mon Jul 13 02:56:59 PDT 2020,Mon Jul 13 02:58:18 PDT 2020,Thu Jul 16 02:58:18 PDT 2020,,,,79,100% (5090/5090),100% (5089/5089),100% (3499/3499),europarl,ep-08-03-10-016.txt,7,"We urge him to bear in mind that he represents the EU Member States, and call on him to respect their sensitivities and contribute towards resolving the issues, showing the Community solidarity that is expected of him and is his duty in view of the office he holds.",EU,302,304,Neutral,,
