corpus_id,file_id,token_id,sentence,token,begin,end
europarl,ep-06-10-11-011.txt,19,"The Group of the Greens/European Free Alliance asks that the title read as follows: Council and Commission statement on the Informal Meeting in Lahti, EU/Russia relations following the murder of Mrs Anna Politkovskaya, with a motion for a resolution on her murder and freedom of opinion in Russia.",Commission,96,106
europarl,ep-08-03-10-016.txt,7,"We urge him to bear in mind that he represents the EU Member States, and call on him to respect their sensitivities and contribute towards resolving the issues, showing the Community solidarity that is expected of him and is his duty in view of the office he holds.",EU,302,304
europarl,ep-08-10-08-028.txt,1,Promoting social inclusion and combating poverty (short presentation),poverty,41,48
europarl,ep-09-05-07-009-10.txt,1,MEDIA Mundus: audiovisual cooperation programme with professionals from third countries (,countries,82,91
europarl,ep-11-06-23-013.txt,1,Interpretation of the Rules of Procedure: see Minutes,Interpretation,0,14
europarl,ep-10-07-07-008-13.txt,7,"(DE) Madam President, as the coordinator for the Group of the Progressive Alliance of Socialists and Democrats in the European Parliament, I would like to make a comment on Amendment 6.",Parliament,127,137
europarl,ep-01-07-03.txt,16,"What is required is continued concentration and continued support for the Commission' s work and for the forthcoming presidencies, but also an appreciation of the fact that many of the difficulties represented by the enlargement process are, in fact, to be found within the European Union as it stands and not in relations with the candidate countries.",support,1273,1280
europarl,ep-11-04-07-006-05.txt,5,"(RO) Madam President, I would like us to replace:",Madam,5,10
europarl,ep-07-05-09-021.txt,5,"Madam President, Commissioner, this report follows on well from the last debate, which was on the general nature of the Euratom Treaty past, present and future.",debate,87,93
europarl,ep-08-09-04-018.txt,1,Dates of forthcoming sittings : see Minutes,sittings,21,29
europarl,ep-11-04-05-014.txt,3,"The next item is the report by Mrs Giannakou on behalf of the Committee on Constitutional Affairs, on the application of Regulation (EC) No 2004/2003 on the regulations governing political parties at European level and the rules regarding their funding (A7-0062-2011).",Constitutional,75,89
europarl,ep-10-05-17-018.txt,7,"However, my report also criticises the fact that the complex interaction of European legislation and national transposition has not resulted in a simplification and debureaucratisation of public procurement, as was, in fact, the aim of the 2004 revision, but rather in more work, high external costs for legal advice and protracted procedures.",transposition,355,368
europarl,ep-10-10-21-007-08.txt,13,"I think it will be, on our part - on the European Parliament's part - a sensible thing for our assessment of the situation in Ukraine, which we discussed yesterday, to be moved to the next part-session of Parliament.",situation,182,191
europarl,ep-04-11-16.txt,10,I shall begin with some comments on the report on the Council's Fifth Annual Report and on the motion for a resolution.,comments,257,265
europarl,ep-04-04-21.txt,13,"I was informed yesterday evening that given the volume of votes and the number of requests that have been received for split votes, roll-call votes etc., the sessional services, between the time the debate finished last night and midday today are simply incapable of producing the required documentation for the vote on the report.",services,168,176
europarl,ep-07-09-04-008.txt,5,"In fact, the 2003 Protocol which entered into force in April this year modifies Title III of the Europol Convention and, particularly, the part relating to the creation of analysis files and the collection, processing, use and deletion of the personal data contained in such files.",Protocol,18,26
europarl,ep-98-09-14.txt,14,He was the party spokesman on Europe and external affairs.,party,226,231
europarl,ep-09-04-21-027.txt,1,Annual report on the deliberations of the Petitions Committee 2008 (short presentation),report,7,13
