corpus_id,file_id,token_id,sentence,token,begin,end
biomed,PLoS Biol-3-5-1110896.nxml,6,Analysis of the mechanisms by which transcription factor programs can be shifted over time to control different complements of downstream genes and thus different aspects of neuronal and cellular fates in progenitor cells or post-mitotic neurons may provide further insight into the way in which transcription factors act to control the assembly of neuronal circuits.,genes,1109,1114
biomed,BMC Biochem-4-_-194730.nxml,1,"At the cellular level annexin A7 can be detected in the cytosol, at the plasma membrane, around the nucleus, at vesicular structures including adrenal chromaffin granules, and at the t-tubule system [5,6].",granules,162,170
biomed,BMC Biochem-4-_-194730.nxml,3,These data are not reflected by a change in the in vivo bleeding time.,bleeding,278,286
biomed,BMC Dev Biol-5-_-1208873.nxml,1,Huntingtin is postulated to function as a flexible ~350 kDa HEAT domain scaffold that may facilitate the assembly and possibly the subcellular location of large protein complexes [3-7].,HEAT,60,64
biomed,PLoS Genet-2-11-1657042.nxml,10,"Thus, depletion of p150CAF-1 protein from this stage allows a maximum of two additional cell divisions before developmental arrest.",maximum,1259,1266
biomed,BMC Neurosci-6-_-1087847.nxml,6,The results obtained by immunofluorescence were confirmed by extraction of Annexin A7 from nuclei of neuronal and glial cell lines.,nuclei,608,614
biomed,BMC Med-2-_-394351.nxml,5,"ELK, AK, EV and MHL performed Western blotting and immunohistochemistry experiments.",AK,273,275
biomed,Nucleic Acids Res-33-18-1253828.nxml,1,The comparison of gene expression in livers of mock- or cadmium-treated Mtf1Mx-cre and Mtf1loxP mice revealed several MTF-1 target gene candidates.,livers,37,43
biomed,BMC Cancer-5-_-1310620.nxml,3,A biomarker combining polymorphisms that affect regulation with those that affect function of antioxidant and DNA repair genes is likely to be the most accurate for identifying individuals at risk for BC.,risk,444,448
biomed,PLoS Biol-3-4-1074790.nxml,8,"Third, the growth of heart and soleus muscle, tissues with high reliance on mitochondrial energy production, is blunted.",Third,1322,1327
biomed,BMC Genomics-7-_-1482699.nxml,4,"The confounding effects of sex are likely the reason for the discrepancies between the congenic and genome scan results, where both sexes were analyzed together.",reason,308,314
biomed,BMC Cancer-5-_-1310620.nxml,2,"According to the paradigm used in this study, a) a normal phenotype results from regulated transcription of a group of genes by one or more transcription factors, b) the corresponding risk-conferring or disease phenotype results from sub-optimal interaction among those same genes, and c) each phenotype is identifiable and distinguishable through virtually-multiplexed transcript abundance analysis.",study,136,141
biomed,BMC Genomics-7-_-1482699.nxml,10,"In contrast, we selected not only against known QTL, we also screened for genome wide heterozygosity increasing the probability that effects observed are due to genetic variation within each donor region.",variation,1314,1323
biomed,PLoS Biol-2-11-523229.nxml,3,Comparison of the expression of the HPLAP marker (driven directly by Gdf5 control elements) and the R26R LACZ marker (expressed following Gdf5-Cre recombination) suggests that recombination-stimulated changes in gene expression may be delayed for a 0.5–1 d in the digit region (see Figure 1C).,changes,608,615
biomed,PLoS Biol-4-10-1617330.nxml,1,"Previously, we generated a TTD mouse model (XPDR722W) that phenocopies the human syndrome [15,21].",syndrome,81,89
biomed,Genome Biol-4-11-329117.nxml,15,"Transcription of apparent 'singleton' olfactory receptor genes (0.5 Mb or more from the nearest other olfactory receptor gene) suggests that there is no absolute requirement for genomic clustering for an olfactory receptor to be transcribed, consistent with observations that small olfactory receptor transgenes can be expressed correctly when integrated outside native olfactory receptor clusters [35].",singleton,2182,2191
biomed,PLoS Genet-1-1-1183529.nxml,2,"Pulmonary hypoplasia is associated with abnormal diaphragmatic anatomy or function, and is known to occur as a secondary developmental defect in models of diaphragmatic dysfunction such as complete amuscularization [17] or phrenic nerve disruption [46].",disruption,354,364
biomed,PLoS Biol-2-10-509410.nxml,5,"Thus, PPARδ activation, rather than merely an increase of PPARδ levels, is an essential element for fiber switching and its associated functional manifestations.",switching,927,936
biomed,PLoS Med-2-12-1322285.nxml,1,We biochemically measured the amount of aggregated Aβ in the brains of our mice before and after transgene suppression using filter trap analysis of cortical tissue from each animal.,brains,61,67
biomed,BMC Genet-6-_-1208879.nxml,2,"Although PAX6 is clearly involved in multiple developmental processes, common themes are now emerging concerning the role of PAX6 in neural tissues.",themes,217,223
biomed,PLoS Genet-2-12-1756909.nxml,2,"For example, ectopic application of BMP antagonists demonstrates that BMP signaling is necessary for this process, and in its absence, webbing occurs [17–19]).",antagonists,179,190
biomed,BMC Biochem-4-_-194730.nxml,1,"Red blood cells, which were thought to be devoid of annexin A7, were recently shown to harbor the 47 kDa isoform together with its binding partner sorcin [7].",binding,131,138
biomed,BMC Neurosci-5-_-400732.nxml,7,Future experiments measuring acquisition of associative learning in rodents that received chronic administration of D2R antagonists and demonstrated behavioral tolerance to their motor disrupting effects would be a logical test of this hypothesis.,antagonists,1118,1129
biomed,BMC Dev Biol-4-_-341451.nxml,2,This discovery has led to the identification of other disorders of embryonic development caused by mutations in genes encoding other enzymes in the post-squalene steps of cholesterol biosynthesis.,identification,187,201
biomed,PLoS Biol-2-12-529315.nxml,7,"However, earlier findings of normal proprioceptive afferent trajectories in chicken embryos despite injection of function-blocking NT-3 antibody into the spinal cord (Oakley et al. 1995) led them to discount this possibility.",trajectories,1168,1180
biomed,BMC Med Genet-7-_-1448208.nxml,8,The phenotypic behavior of homozygous mouse pups resembles symptoms seen in newborn classic MSUD patients.,symptoms,785,793
biomed,PLoS Genet-2-11-1657042.nxml,5,"Altogether, our data demonstrate that loss of p150CAF-1 function in ES cells and early embryos alters first the organization of heterochromatin in the nucleus and, in a subsequent step, cell cycle and viability.",organization,870,882
biomed,BMC Neurosci-7-_-1420314.nxml,3,Our genetically modified mouse strain has the potential to be a useful and sensitive tools for detailed investigation of ADAM proteins' functions in the nervous system.,ADAM,551,555
biomed,PLoS Genet-1-2-1193529.nxml,7,"In support of this, AQP2-F204V can interact with wild-type AQP2 (Figure 5B), and when coexpressed with wild-type protein, AQP2-F204V can reach the cell surface (Figure 5C bottom right panel and 5D).",support,912,919
biomed,PLoS Genet-2-11-1657042.nxml,5,"Outside of the centromeric H3 variant, S. cerevisiae possesses only H3.3, which is expressed and incorporated into chromatin in a replication-independent fashion in higher eukaryotes [12].",fashion,870,877
